username,tweet
Gus Choy Markochoy,"RT @SSukasim: Masiku ingat presiden Mega Widodo
KCJB ingat presiden Luhut Widodo
Sambo ingat presiden Tito MD Widodo
349 ingat presiden Sri…"
DON,@YRadianto Bukan hanya fadli zon. Bgmna dgn andre rosiade. Banyak nanti lainnya yg kita akan muak saat beliau jd pr… https://t.co/sS0OLpL0Tl
J B,"RT @MARQUEZ__93: Paman Sengkuni dukung Prabowo jika Anies gagal Nyapres.
Paman Sengkuni enggan dukung Ganjar karena keterkaitan Pemerintaha…"
Sarbono,@Alie_Fahnoor @are_inismyname @AndreasSolusi @azissubekti @BANGSAygSUJUD @bengkeldodo @prabowo @Gerindra… https://t.co/giXZOKVbi7
ℹ️ndra🅾️NE πPi,"@abdulra84804284 @BANGSAygSUJUD @prabowo Kasian dong udah 3x KO, biar seneng kasih kesempatan jadi presiden hasil survey kali ini..."
Indeks Politika,"Momen Kompak Prabowo dan Jokowi  di Jerman

Jakarta - Menteri Pertahanan RI Prabowo Subianto dan Presiden RI Joko W… https://t.co/NEiLc9zVOz"
Bukan Autokrat,"Momen Kompak Prabowo dan Jokowi  di Jerman

Jakarta - Menteri Pertahanan RI Prabowo Subianto dan Presiden RI Joko W… https://t.co/cJ9DsU0cIj"
Kliktivisme Demokrasi,Jakarta - Menteri Pertahanan RI Prabowo Subianto dan Presiden RI Joko Widodo (Jokowi) tampil akrab saat menghadiri… https://t.co/IsYRhZmPcm
Ngaji Politik,Jakarta - Menteri Pertahanan RI Prabowo Subianto dan Presiden RI Joko Widodo (Jokowi) tampil akrab saat menghadiri… https://t.co/RvCjLTaNh7
Bunga _tukang rt,"RT @_mastito: sy siih gk perduli sipaun jdi presiden nntinya . Mau ganti presiden 100× dlm 1 tahunpun. ttp aj kerjaan sy jd kontraktor..

Y…"
Indiah,Ngak aku milih sandiaga uno jadi presiden tapi ngak suka sama partai ppp..nya itu...https://t.co/n2BFSrOY6S
Sarbono,@are_inismyname @AndreasSolusi @azissubekti @Alie_Fahnoor @BANGSAygSUJUD @bengkeldodo @prabowo @Gerindra… https://t.co/UgPFqZNw1d
Allen Walker,"@NMS__ampel Balikan klo Prabowo jadi presiden. Selama Prabowo belum jadi presiden, sebatas cinta ABG"
