,date,username,tweet
226,2023-05-30 13:20:21+00:00,kohlervooler,yth perhati modus in
228,2023-05-30 13:18:55+00:00,MadeleynAinley,restu partai februari pileg pilpres bicara
229,2023-05-30 13:18:54+00:00,MadeleynAinley,ridwan kamil tunggu restu partai golkar restu lepas pi
239,2023-05-30 13:18:16+00:00,AdamsIlham,prediksi pilper buruk tahun kecuranganapa presiden pilpres
242,2023-05-30 13:15:33+00:00,SukijoWong,pilpres demokratis luber jurdil hasil presiden jaya maju nkri
243,2023-05-30 13:13:49+00:00,mass_adit,klo bahas prabowo langgar ham
244,2023-05-30 13:12:37+00:00,Atmojo200194,rt hi tweps percaya lembaga survei bayar pilpres vote sila amp biar ngak
247,2023-05-30 13:08:17+00:00,are_inismyname,rt
248,2023-05-30 13:06:20+00:00,Sinyo_Joelunar,presiden sikap pilpres allah pimpin un
250,2023-05-30 13:04:34+00:00,kybrianyk,amin amin sempet ngejar pilpres
252,2023-05-30 13:03:37+00:00,jonsa61664335,pelihara silaturahmi doa suka allah subhana wa taala moga capres anies
254,2023-05-30 13:02:31+00:00,gatotprayoga2,hhee hhee oey dungu ndak bangsa amp negara
259,2023-05-30 12:56:40+00:00,Faradil03,moga aja ganjar pranowo menang pilpres
260,2023-05-30 12:52:48+00:00,faizalassegaf,hikayat sekutu jokowi prabowo by faizal assegaf kritikussemesra prabowo jokowi saj
261,2023-05-30 12:51:53+00:00,ardi_riau5,mikirin pilpres partai gelora gabung koalisi
262,2023-05-30 12:49:44+00:00,Chaves1305,rt klo laksana pilpres detik prabowo dg pot bunga jg menang
263,2023-05-30 12:49:41+00:00,Chaves1305,klo laksana pilpres detik prabowo dg pot bunga jg menang
264,2023-05-30 12:45:58+00:00,kaizen_pdca,mesti rawan jokowi bubar rawan capres yg tarung pilpres
267,2023-05-30 12:44:15+00:00,wahyudhie2345,pilpres jokowi campur rusak tatanan yg beliau bangun tahun
268,2023-05-30 12:40:59+00:00,laskarpeningit,menang ab pilpres
269,2023-05-30 12:40:07+00:00,AndreGa78981078,politik takut kalah raih citra rakyat kekuatiran kalah panik dg angkat
270,2023-05-30 12:37:26+00:00,Yono19060776,kait pilpres kait politik kait korupsi bts
271,2023-05-30 12:36:24+00:00,TaufikWidiarto,moga bu sus sikap politik pilpres
273,2023-05-30 12:32:50+00:00,Yono19060776,jabat kpk ketua mk kait pilpres
274,2023-05-30 12:32:43+00:00,sayfull46,bayang kl pilpres sby cawe bs jokowi tdk jd presiden yg jd pas
275,2023-05-30 12:27:35+00:00,DelicaSugeng,mnyebarkan opini sesat msyarakat yg bodoh dukung dlm ajang pilpres
276,2023-05-30 12:24:36+00:00,adzaniamedikasr,prabowo menang kontestasi pilpres noel capres
280,2023-05-30 12:19:10+00:00,wisnubrin,pilih pas pilpres nikmat
281,2023-05-30 12:17:59+00:00,reifeiza,tum prabowo mania immanuel ebenezer dukung all out dukung prabowo subianto pilpres
283,2023-05-30 12:15:32+00:00,AlFaqirMan17,rt pantes nganu takut bener anies menang pilpres lubang nganga
284,2023-05-30 12:13:04+00:00,one_sach97004,pilpres sdh ajar rakyat indonesia waspada ter
285,2023-05-30 12:11:25+00:00,IwanKurus8,cawecawe dukung dukung salah kandidat pilpres jokowi bilang caw
286,2023-05-30 12:09:06+00:00,PribadiBales,tabung lpg kg ngoceh jokowi mudahmudahan tdk leduk pilpres
287,2023-05-30 12:08:33+00:00,RickyDiningrat1,betapa jelek maralitas moldoko kambing hitam curi partai demokrat dgn
288,2023-05-30 12:03:38+00:00,Tabiyat15,capres anies anggap antitesa perintah kpp beliau berpe
